country_name,countryiso3code,date,population_growth,region_name,gdp_per_capita
Albania,ALB,2024,-1.54314393524594,Europe & Central Asia,11377.7757431099
Algeria,DZA,2024,1.39838651912702,"Middle East, North Africa, Afghanistan & Pakistan",5752.99076651465
Andorra,AND,2024,1.32930689449906,Europe & Central Asia,49303.6491674336
Angola,AGO,2024,3.04419972245653,Sub-Saharan Africa ,2665.87444776753
Antigua and Barbuda,ATG,2024,0.487472101887911,Latin America & Caribbean ,23542.4526945578
Argentina,ARG,2024,0.345829819817895,Latin America & Caribbean ,13969.7836603737
Armenia,ARM,2024,2.30761515133256,Europe & Central Asia,8556.21406956719
Aruba,ABW,2024,0.590657103226071,Latin America & Caribbean ,39498.5941293797
Australia,AUS,2024,1.99383715356028,East Asia & Pacific,64603.9856308464
Austria,AUT,2024,0.504879813795986,Europe & Central Asia,58268.8787651601
Azerbaijan,AZE,2024,0.480155257252915,Europe & Central Asia,7283.8499076179
"Bahamas, The",BHS,2024,0.460334786075668,Latin America & Caribbean ,39455.4466548546
Bahrain,BHR,2024,0.733546811160036,"Middle East, North Africa, Afghanistan & Pakistan",29653.5682731534
Bangladesh,BGD,2024,1.21462115417186,South Asia,2593.41611680774
Barbados,BRB,2024,0.0463878564204179,Latin America & Caribbean ,26544.8707282621
Belarus,BLR,2024,-0.49881794290787,Europe & Central Asia,8317.63399913792
Belgium,BEL,2024,0.66555918543206,Europe & Central Asia,56614.5679499036
Belize,BLZ,2024,1.44077799785791,Latin America & Caribbean ,7681.24400583113
Benin,BEN,2024,2.46175361912328,Sub-Saharan Africa ,1485.38018885134
Bermuda,BMU,2024,-0.0958758017988935,North America,142855.374713782
Bolivia,BOL,2024,1.37206798819615,Latin America & Caribbean ,4421.16609889999
Bosnia and Herzegovina,BIH,2024,-0.655819991673837,Europe & Central Asia,9358.78768951134
Botswana,BWA,2024,1.63538411022867,Sub-Saharan Africa ,7695.75319445165
Brazil,BRA,2024,0.405467027627251,Latin America & Caribbean ,10310.5488778166
Brunei Darussalam,BRN,2024,0.81851878860359,East Asia & Pacific,33153.4738913513
Bulgaria,BGR,2024,-0.0803071609561488,Europe & Central Asia,17596.0173663521
Burkina Faso,BFA,2024,2.24597728439097,Sub-Saharan Africa ,981.992649769081
Burundi,BDI,2024,2.5839340108674,Sub-Saharan Africa ,219.424830882698
Cabo Verde,CPV,2024,0.486246288487151,Sub-Saharan Africa ,5192.48157325878
Cambodia,KHM,2024,1.22593986324555,East Asia & Pacific,2627.87969756224
Cameroon,CMR,2024,2.61268294319567,Sub-Saharan Africa ,1830.00833684727
Canada,CAN,2024,2.96220294420494,North America,54340.3477224733
Central African Republic,CAF,2024,3.40139844069992,Sub-Saharan Africa ,516.160999996036
Chad,TCD,2024,4.94853027382671,Sub-Saharan Africa ,961.55975562506
Chile,CHL,2024,0.537425495656651,Latin America & Caribbean ,16709.8893972307
China,CHN,2024,-0.123063407363995,East Asia & Pacific,13303.1481543868
Colombia,COL,2024,1.07447920962035,Latin America & Caribbean ,7919.20886825345
Comoros,COM,2024,1.89182789744612,Sub-Saharan Africa ,1662.75663312504
"Congo, Dem. Rep.",COD,2024,3.24257627586721,Sub-Saharan Africa ,649.383338556725
"Congo, Rep.",COG,2024,2.39829082784283,Sub-Saharan Africa ,2482.2489948456
Costa Rica,CRI,2024,0.476482848761595,Latin America & Caribbean ,18587.1532203482
Cote d'Ivoire,CIV,2024,2.43618201263834,Sub-Saharan Africa ,2727.8935220697
Croatia,HRV,2024,0.168627948783285,Europe & Central Asia,24050.4397933135
Curacao,CUW,2024,0.845408275786684,Latin America & Caribbean ,22832.8953958667
Cyprus,CYP,2024,0.984449687113221,Europe & Central Asia,38674.29296875
Czechia,CZE,2024,0.376553049157494,Europe & Central Asia,31823.3078290564
Denmark,DNK,2024,0.503861198167737,Europe & Central Asia,71026.4832271897
Djibouti,DJI,2024,1.3592172957681,"Middle East, North Africa, Afghanistan & Pakistan",3552.72335079222
Dominica,DMA,2024,-0.459632350460969,Latin America & Caribbean ,10405.2787777582
Dominican Republic,DOM,2024,0.846199988604412,Latin America & Caribbean ,10875.6618443092
Ecuador,ECU,2024,0.860548498593581,Latin America & Caribbean ,6874.705739766
"Egypt, Arab Rep.",EGY,2024,1.73324205302065,"Middle East, North Africa, Afghanistan & Pakistan",3338.47371395895
El Salvador,SLV,2024,0.451762522948611,Latin America & Caribbean ,5579.65969165029
Equatorial Guinea,GNQ,2024,2.40472649031131,Sub-Saharan Africa ,6745.40013244916
Estonia,EST,2024,0.149856351926424,Europe & Central Asia,31428.3547816104
Eswatini,SWZ,2024,0.995913343966098,Sub-Saharan Africa ,3909.55892378182
Ethiopia,ETH,2024,2.58350411214521,Sub-Saharan Africa ,1133.88279681719
Faroe Islands,FRO,2024,0.489482621742025,Europe & Central Asia,74119.6607553879
Fiji,FJI,2024,0.500721796949901,East Asia & Pacific,6425.74151715712
Finland,FIN,2024,0.642640054363343,Europe & Central Asia,53149.7671934051
France,FRA,2024,0.261995241898747,Europe & Central Asia,46103.0840855884
French Polynesia,PYF,2024,0.244792945440769,East Asia & Pacific,22439.8838746025
Gabon,GAB,2024,2.15636509762581,Sub-Saharan Africa ,8230.04311451151
"Gambia, The",GMB,2024,2.27730257212036,Sub-Saharan Africa ,871.340291776294
Georgia,GEO,2024,-0.429560042538271,Europe & Central Asia,9241.49122313713
Germany,DEU,2024,0.274957829184881,Europe & Central Asia,56103.7323182554
Ghana,GHA,2024,1.87500010333119,Sub-Saharan Africa ,2390.77237652715
Greece,GRC,2024,-0.0213045199396999,Europe & Central Asia,24626.1481858973
Grenada,GRD,2024,0.107559936614412,Latin America & Caribbean ,11705.0902976658
Guatemala,GTM,2024,1.54129399660934,Latin America & Caribbean ,6150.02571438505
Guinea,GIN,2024,2.39595802290484,Sub-Saharan Africa ,1694.95375862193
Guinea-Bissau,GNB,2024,2.20520563612008,Sub-Saharan Africa ,1007.74151728028
Guyana,GUY,2024,0.571243951310838,Latin America & Caribbean ,29675.2443873316
Haiti,HTI,2024,1.15472671204546,Latin America & Caribbean ,2142.62330526788
Honduras,HND,2024,1.68469129774697,Latin America & Caribbean ,3426.43483328923
"Hong Kong SAR, China",HKG,2024,-0.159360467186035,East Asia & Pacific,54074.6928519479
Hungary,HUN,2024,-0.314510077464087,Europe & Central Asia,23292.3263882478
Iceland,ISL,2024,0.218346070592545,Europe & Central Asia,86040.5309851288
India,IND,2024,0.890706546985984,South Asia,2694.73780859961
Indonesia,IDN,2024,0.813871513351669,East Asia & Pacific,4925.43048751861
"Iran, Islamic Rep.",IRN,2024,1.05286922170537,"Middle East, North Africa, Afghanistan & Pakistan",5190.16959024821
Iraq,IRQ,2024,2.12476784890538,"Middle East, North Africa, Afghanistan & Pakistan",6073.61032342708
Ireland,IRL,2024,1.57375843711631,Europe & Central Asia,112894.953240805
Israel,ISR,2024,1.26518834033156,"Middle East, North Africa, Afghanistan & Pakistan",54176.6844383302
Italy,ITA,2024,-0.0534387378437725,Europe & Central Asia,40385.3413957669
Jamaica,JAM,2024,-0.0215180207209529,Latin America & Caribbean ,7753.8006955432
Japan,JPN,2024,-0.435651699326323,East Asia & Pacific,32487.0778047567
Jordan,JOR,2024,0.988722042141178,"Middle East, North Africa, Afghanistan & Pakistan",4618.09592498567
Kazakhstan,KAZ,2024,1.28276364646616,Europe & Central Asia,14154.6324958076
Kenya,KEN,2024,1.95751431565234,Sub-Saharan Africa ,2132.43452097647
Kiribati,KIR,2024,1.48889841912877,East Asia & Pacific,2288.63471423684
"Korea, Rep.",KOR,2024,0.0743178674548815,East Asia & Pacific,36238.639908315
Kosovo,XKX,2024,-5.39126176551648,Europe & Central Asia,7023.06598512878
Kuwait,KWT,2024,0.899286654502241,"Middle East, North Africa, Afghanistan & Pakistan",32717.7186631255
Kyrgyz Republic,KGZ,2024,1.70540730430368,Europe & Central Asia,2420.18542283831
Lao PDR,LAO,2024,1.35832703035837,East Asia & Pacific,2123.97909415109
Latvia,LVA,2024,-0.93796839712162,Europe & Central Asia,23409.0845154775
Lesotho,LSO,2024,1.11644894351979,Sub-Saharan Africa ,971.90771824829
Liberia,LBR,2024,2.15725346515291,Sub-Saharan Africa ,851.497723870206
Libya,LBY,2024,1.02629935747641,"Middle East, North Africa, Afghanistan & Pakistan",6569.16408678648
Lithuania,LTU,2024,0.579633464785161,Europe & Central Asia,29384.0189598663
Luxembourg,LUX,2024,1.57538901671221,Europe & Central Asia,137781.681659123
"Macao SAR, China",MAC,2024,1.20077588622782,East Asia & Pacific,72004.7437020733
Madagascar,MDG,2024,2.43524760129506,Sub-Saharan Africa ,544.987501003384
Malawi,MWI,2024,2.57641467045761,Sub-Saharan Africa ,522.570393642547
Malaysia,MYS,2024,1.22058891015438,East Asia & Pacific,11874.4273684245
Maldives,MDV,2024,0.342572358181693,South Asia,13379.3513577224
Mali,MLI,2024,2.94115084753028,Sub-Saharan Africa ,1094.61949265799
Malta,MLT,2024,2.87111128593908,"Middle East, North Africa, Afghanistan & Pakistan",43898.5781808597
Marshall Islands,MHL,2024,-3.34957664335036,East Asia & Pacific,7726.33668877794
Mauritania,MRT,2024,2.88395898961435,Sub-Saharan Africa ,2110.12036938187
Mauritius,MUS,2024,-0.2299528038748,Sub-Saharan Africa ,11990.7798944837
Mexico,MEX,2024,0.860515443690537,Latin America & Caribbean ,14185.7812248529
"Micronesia, Fed. Sts.",FSM,2024,0.469463637376133,East Asia & Pacific,4166.00476748564
Moldova,MDA,2024,-2.28306147072637,Europe & Central Asia,7576.19589413326
Monaco,MCO,2024,-0.837774113919638,Europe & Central Asia,288001.433369041
Mongolia,MNG,2024,1.24590299529718,East Asia & Pacific,6750.6301157724
Montenegro,MNE,2024,-0.000641511915285095,Europe & Central Asia,13263.3281277699
Morocco,MAR,2024,0.972827595296714,"Middle East, North Africa, Afghanistan & Pakistan",4153.1943359375
Mozambique,MOZ,2024,2.91994049442347,Sub-Saharan Africa ,656.776824637306
Myanmar,MMR,2024,0.674364862610485,East Asia & Pacific,1359.05001560107
Namibia,NAM,2024,2.23715227334598,Sub-Saharan Africa ,4413.12752211572
Nauru,NRU,2024,0.604485091438176,East Asia & Pacific,13609.158837552
Nepal,NPL,2024,-0.146800968936231,South Asia,1447.31004458428
Netherlands,NLD,2024,0.648823280021657,Europe & Central Asia,67520.4218956281
New Caledonia,NCL,2024,0.95072208560765,East Asia & Pacific,29213.1923192946
New Zealand,NZL,2024,1.66869187850147,East Asia & Pacific,49205.1792146792
Nicaragua,NIC,2024,1.34687135560209,Latin America & Caribbean ,2847.53966339498
Niger,NER,2024,3.28101480132484,Sub-Saharan Africa ,735.270255787226
Nigeria,NGA,2024,2.08297776184189,Sub-Saharan Africa ,1084.16041805436
North Macedonia,MKD,2024,-0.189311904958652,Europe & Central Asia,9291.85661671864
Norway,NOR,2024,0.949855138372357,Europe & Central Asia,86785.4334489176
Oman,OMN,2024,4.49738628465102,"Middle East, North Africa, Afghanistan & Pakistan",20285.2272897377
Pakistan,PAK,2024,1.50959876314033,"Middle East, North Africa, Afghanistan & Pakistan",1478.77277977996
Panama,PAN,2024,1.26624987466078,Latin America & Caribbean ,19161.2188501596
Papua New Guinea,PNG,2024,1.78260733820852,East Asia & Pacific,3006.70564478923
Paraguay,PRY,2024,1.23438951533718,Latin America & Caribbean ,6416.09708970845
Peru,PER,2024,1.0937871324756,Latin America & Caribbean ,8452.37167056621
Philippines,PHL,2024,0.825602488528657,East Asia & Pacific,3984.8315387656
Poland,POL,2024,-0.349832361234927,Europe & Central Asia,25103.565661423
Portugal,PRT,2024,1.09536933248007,Europe & Central Asia,29292.242104753
Puerto Rico (US),PRI,2024,-0.0155140706220036,Latin America & Caribbean ,39343.7154660139
Qatar,QAT,2024,7.32265165181291,"Middle East, North Africa, Afghanistan & Pakistan",76688.6941743178
Romania,ROU,2024,-0.0485820204761977,Europe & Central Asia,20080.2096215595
Russian Federation,RUS,2024,-0.203423663777625,Europe & Central Asia,14889.0185546875
Rwanda,RWA,2024,2.14176839550509,Sub-Saharan Africa ,999.65456165547
Samoa,WSM,2024,0.62390639530784,East Asia & Pacific,5392.87761915762
Sao Tome and Principe,STP,2024,2.0004655038868,Sub-Saharan Africa ,3490.56883486557
Saudi Arabia,SAU,2024,4.63120232685885,"Middle East, North Africa, Afghanistan & Pakistan",35121.6628687742
Senegal,SEN,2024,2.32058603495657,Sub-Saharan Africa ,1773.21829923448
Serbia,SRB,2024,-0.555761423984425,Europe & Central Asia,13679.2065983557
Seychelles,SYC,2024,1.31136094801067,Sub-Saharan Africa ,17858.8226383978
Sierra Leone,SLE,2024,2.1226891332086,Sub-Saharan Africa ,806.654650417726
Singapore,SGP,2024,1.99449365639324,East Asia & Pacific,90674.066632628
Sint Maarten (Dutch part),SXM,2024,1.39608999302398,Latin America & Caribbean ,41472.5874498583
Slovak Republic,SVK,2024,-0.0861108401600769,Europe & Central Asia,25992.6748502048
Slovenia,SVN,2024,0.326705896075754,Europe & Central Asia,34301.0318686594
Solomon Islands,SLB,2024,2.37078352276169,East Asia & Pacific,1933.55538435227
"Somalia, Fed. Rep.",SOM,2024,3.48215481810475,Sub-Saharan Africa ,629.538899449007
South Africa,ZAF,2024,1.24951426055192,Sub-Saharan Africa ,6267.186814093
Spain,ESP,2024,1.02121260938381,Europe & Central Asia,35326.7683069278
Sri Lanka,LKA,2024,-0.550589519145017,South Asia,4515.56787322732
St. Kitts and Nevis,KNA,2024,0.181622041143753,Latin America & Caribbean ,23960.6534357084
St. Lucia,LCA,2024,0.255689791113258,Latin America & Caribbean ,14181.6303351598
St. Vincent and the Grenadines,VCT,2024,-0.700214310937747,Latin America & Caribbean ,11501.2265187188
Sudan,SDN,2024,0.808373216038761,Sub-Saharan Africa ,984.607666015625
Suriname,SUR,2024,0.877853398525397,Latin America & Caribbean ,6961.78955961526
Sweden,SWE,2024,0.313432129983607,Europe & Central Asia,57117.4877440616
Switzerland,CHE,2024,1.30500749907811,Europe & Central Asia,103998.186685604
Tajikistan,TJK,2024,1.91732317936133,Europe & Central Asia,1341.20229027672
Tanzania,TZA,2024,2.87426672866542,Sub-Saharan Africa ,1186.71691894531
Thailand,THA,2024,-0.0480210554154485,East Asia & Pacific,7346.62022142185
Timor-Leste,TLS,2024,1.17433638550192,East Asia & Pacific,1331.9705130185
Togo,TGO,2024,2.2413667842624,Sub-Saharan Africa ,1119.38160509429
Trinidad and Tobago,TTO,2024,0.0601642729371072,Latin America & Caribbean ,18733.4110406494
Tunisia,TUN,2024,0.626519256572759,"Middle East, North Africa, Afghanistan & Pakistan",4181.13789301228
Turkiye,TUR,2024,0.225580501096507,Europe & Central Asia,15892.7157287241
Turkmenistan,TKM,2024,1.75064111797897,Europe & Central Asia,6856.65802730208
Turks and Caicos Islands,TCA,2024,0.726821053031156,Latin America & Caribbean ,37506.7798431288
Uganda,UGA,2024,2.75373170025335,Sub-Saharan Africa ,1077.91278452817
Ukraine,UKR,2024,0.33702862573394,Europe & Central Asia,5389.47314453125
United Arab Emirates,ARE,2024,4.68316095317394,"Middle East, North Africa, Afghanistan & Pakistan",50273.5060469837
United Kingdom,GBR,2024,1.0659564474212,Europe & Central Asia,53246.3676145108
United States,USA,2024,0.976421684505429,North America,84534.0407841548
Uruguay,URY,2024,-0.0440759548302792,Latin America & Caribbean ,23906.5133029408
Uzbekistan,UZB,2024,1.97065383660565,Europe & Central Asia,3161.70010632875
Vanuatu,VUT,2024,2.27351944261437,East Asia & Pacific,3410.77023167097
"Venezuela, RB",VEN,2024,0.369232130679939,Latin America & Caribbean ,4217.59102643391
Viet Nam,VNM,2024,0.631267006487247,East Asia & Pacific,4717.29028732449
West Bank and Gaza,PSE,2024,2.36027908447521,"Middle East, North Africa, Afghanistan & Pakistan",2592.30591217647
Zambia,ZMB,2024,2.81182258530958,Sub-Saharan Africa ,1187.10943350064
Zimbabwe,ZWE,2024,1.7804822981922,Sub-Saharan Africa ,2497.20332208763
